ID,ascending10otherwise,age,gender,Date,Condition,DS,AC,ACIR,ACSR,IR.1,IR.2,IR.3,IR.4,IR.5,IR.6,IR.7,IR.8,IR.9,IR.10,SR.1,SR.2,SR.3,SR.4,SR.5,SR.6,SR.7,SR.8,SR.9,SR.10,BeforeDV,AfterDV,DataCollection,ConditionFactor,Exc,difference,filter_$
LS253,1,19,1 Female,4/24/2017,Examining,1,Lemonade,6,4,in the lonely hour,25,purpose,views,chaos and the calm,lemonade,legend,x,i like it when you sleep for you are so,beauty behind the madness,in the lonely hour,25,chaos and the calm,lemonade,x,purpose,i like it when you sleep for you are so,views,legend,beauty behind the madness,1,1,2,0,0,0,0
LS254,1,19,1 Female,4/24/2017,Examining,1,Delirium,6,1,purpose,25,in the lonely hour,1989,beauty behind the madness,delirium,legend,this is acting,x,made in the am,delirium,beauty behind the madness,purpose,1989,25,in the lonely hour,legend,made in the am,this is acting,x,1,-1,2,0,0,-2,0
LS255,0,21,1 Female,4/24/2017,Examining,1,25,6,5,in the lonely hour,nine track mind,this is acting,blurry face,a head full of dreams,25,i like it when you sleep for you are so,purpose,best of bowie,x,nine track mind,in the lonely hour,this is acting,i like it when you sleep for you are so,25,a head full of dreams,blurry face,purpose,best of bowie,x,1,-1,2,0,0,-2,0
LS256,1,18,2 Male,4/25/2017,Examining,1,Blurry face,5,6,blackstar,a head full of dreams,a moon shaped pool,the very best of prince,blurry face,50,nine track mind,best of bowie,this is acting,nothing has changed,best of bowie,blackstar,a moon shaped pool,a head full of dreams,the very best of prince,blurry face,50,this is acting,nothing has changed,nine track mind,-1,-1,2,0,0,0,0
LS257,0, , ,4/25/2017,Examining,1,In the lonely hour,5,6,i like it when you sleep for you are so,a head full of dreams,a moon shaped pool,nine track mind,in the lonely hour,delirium,purpose,25,chaos and the calm,anti,i like it when you sleep for you are so,a head full of dreams,a moon shaped pool,nine track mind,delirium,in the lonely hour,purpose,25,chaos and the calm,anti,-1,1,2,0,0,2,0
LS258,1,19,1 Female,4/25/2017,Examining,1,X,5,5,lemonade,25,1989,made in the am,x,beauty behind the madness,legend,nine track mind,in the lonely hour,a head full of dreams,lemonade,25,1989,made in the am,x,beauty behind the madness,legend,nine track mind,in the lonely hour,a head full of dreams,-1,-1,2,0,0,0,0
LS259,1,21,2 Male,4/25/2017,Examining,1,Legend,6,6,if i can dream,x,nothing has changed,views,50,legend,in the lonely hour,nine track mind,best of bowie,a moon shaped pool,if i can dream,x,nothing has changed,views,50,legend,in the lonely hour,nine track mind,best of bowie,a moon shaped pool,1,1,2,0,0,0,0
LS26,0,18,1 Female,11/29/2016,Using,1,In the lonely hour,6,2,Anti,25,Lemonade,This is Acting,Delirium,In the lonely hour,1989,X,Views,Legend,25,In the lonely hour,Lemonade,Anti,Delirium,This is acting,X,1989,Views,Legend,1,-3,1,1,0,-4,1
LS260,0,19,1 Female,4/25/2017,Examining,1,1989,5,6,lemonade,25,if i can dream,a head full of dreams,1989,the very best of prince,a moon shaped pool,this is acting,views,purpose,lemonade,25,if i can dream,the very best of prince,a moon shaped pool,1989,purpose,views,a head full of dreams,this is acting,-1,2,2,0,0,3,0
LS261,1,20,2 Male,4/25/2017,Using,1,Best of bowie,5,5,beauty behind the madness,a head full of dreams,blurry face,i like it when you sleep for you are so,best of bowie,the very best of prince,if i can dream,delirium,in the lonely hour,25,beauty behind the madness,a head full of dreams,blurry face,i like it when you sleep for you are so,best of bowie,very best of prince,if i can dream,delirium,in the lonely hour,25,-1,-1,2,1,0,0,0
