game,round,scoreA,scoreB,percentA,showScore,n_par,gini_all,gmd_all,cumulativePayoff_all,behavior_all,degree_all,trans_all
4,0,1150,200,0.3,false,13,0.369786839666358,472.189349112426,638.461538461538,NA,1.61538461538462,0.207692307692308
4,1,1150,200,0.3,false,13,0.365289882531262,570.414201183432,780.769230769231,0.923076923076923,4.07692307692308,0.374395049395049
4,2,1150,200,0.3,false,13,0.26,600,1153.84615384615,0.923076923076923,4.69230769230769,0.408868908868909
4,3,1150,200,0.3,false,13,0.212149708482227,667.455621301775,1573.07692307692,0.846153846153846,4.69230769230769,0.445221445221445
4,4,1150,200,0.3,false,13,0.163498098859316,661.538461538462,2023.07692307692,0.923076923076923,5,0.457498057498057
4,5,1150,200,0.3,false,13,0.13796373118407,688.757396449704,2496.15384615385,0.923076923076923,5.46153846153846,0.472727272727273
4,6,1150,200,0.3,false,13,0.122481389578164,730.177514792899,2980.76923076923,0.846153846153846,5,0.461888111888112
4,7,1150,200,0.3,false,13,0.102849319756995,711.242603550296,3457.69230769231,0.923076923076923,4.92307692307692,0.466816516816517
4,8,1150,200,0.3,false,13,0.0920963236959312,721.89349112426,3919.23076923077,0.923076923076923,5.07692307692308,0.447219447219447
4,9,1150,200,0.3,false,13,0.0742097408764075,647.337278106509,4361.53846153846,0.846153846153846,5,0.445254745254745
4,10,1150,200,0.3,false,13,0.0779667260114188,751.479289940828,4819.23076923077,0.923076923076923,5.07692307692308,0.433372183372183
5,0,1150,200,0.3,false,14,0.404446546830653,436.224489795918,539.285714285714,NA,2,0.0547619047607143
5,1,1150,200,0.3,false,14,0.342712842712843,484.69387755102,707.142857142857,0.857142857142857,3.35714285714286,0.2968820861678
5,2,1150,200,0.3,false,14,0.257246376811594,507.142857142857,985.714285714286,0.785714285714286,3.64285714285714,0.28687641723356
5,3,1150,200,0.3,false,14,0.207028265851795,553.061224489796,1335.71428571429,0.928571428571429,4.28571428571429,0.348639455782313
5,4,1150,200,0.3,false,14,0.174344023323615,610.204081632653,1750,0.928571428571429,4.57142857142857,0.377058853844568
