game,round,scoreA,scoreB,percentA,showScore,superid,behavior,e_behavior,initial_score,cumulativePayoff,e_cumulativePayoff,e_degree,local_avg_wealth,local_rate_coop,local_cluster
2,1,1150,200,0.3,false,203,1,NA,200,600,200,4,777.7777777778,1,0.6111111111
2,1,1150,200,0.3,false,204,1,NA,200,400,200,7,771.4285714286,1,0.7142857143
2,1,1150,200,0.3,false,205,1,NA,200,400,200,4,806.25,1,0.5714285714
2,1,1150,200,0.3,false,206,1,NA,200,550,1150,6,762.5,1,0.5303030303
2,1,1150,200,0.3,false,207,1,NA,1150,1300,200,4,800,1,0.8
2,1,1150,200,0.3,false,208,1,NA,1150,1300,1150,8,625,1,0.5333333333
2,1,1150,200,0.3,false,209,1,NA,200,400,200,4,800,1,0.7333333333
2,1,1150,200,0.3,false,210,1,NA,1150,1550,1150,6,718.1818181818,1,0.6363636364
2,1,1150,200,0.3,false,211,1,NA,200,350,200,7,856.25,1,0.7142857143
2,1,1150,200,0.3,false,212,1,NA,200,400,1150,3,792.8571428571,1,0.7142857143
2,1,1150,200,0.3,false,213,1,NA,1150,1450,200,5,765,1,0.6222222222
2,1,1150,200,0.3,false,214,1,NA,200,450,200,3,794.4444444444,1,0.6944444444
2,1,1150,200,0.3,false,215,1,NA,200,400,200,4,937.5,1,0.5357142857
2,2,1150,200,0.3,false,201,1,1,1150,1900,1450,9,1183.3333333333,1,0.7727272727
2,2,1150,200,0.3,false,202,1,1,200,1150,550,12,1170.8333333333,1,0.7575757576
2,2,1150,200,0.3,false,203,1,1,200,1050,600,9,1145.4545454546,1,0.8
2,2,1150,200,0.3,false,204,1,1,200,750,400,7,1245,1,0.8222222222
2,2,1150,200,0.3,false,205,1,1,200,800,400,8,1350,1,0.8545454545
2,2,1150,200,0.3,false,207,1,1,1150,1600,550,12,1277.7777777778,1,0.9166666667
2,2,1150,200,0.3,false,206,1,1,200,1150,1300,6,1203.8461538462,1,0.7564102564
2,2,1150,200,0.3,false,208,1,1,1150,1600,1300,6,1075,1,0.8
2,2,1150,200,0.3,false,209,1,1,200,700,400,6,1200,1,0.8666666667
2,2,1150,200,0.3,false,210,1,1,1150,2100,1550,11,1129.1666666667,1,0.803030303
2,2,1150,200,0.3,false,211,1,1,200,750,350,8,1308.3333333333,1,0.8181818182
2,2,1150,200,0.3,false,212,1,1,200,750,400,7,1266.6666666667,1,0.8055555556
2,2,1150,200,0.3,false,213,1,1,1150,1950,1450,10,1173.0769230769,1,0.7948717949
2,2,1150,200,0.3,false,214,1,1,200,900,450,9,1217.8571428571,1,0.7692307692
2,2,1150,200,0.3,false,215,1,1,200,800,400,8,1270,1,0.7777777778
2,3,1150,200,0.3,false,201,1,1,1150,2300,1900,12,1522.7272727273,1,0.8363636364
2,3,1150,200,0.3,false,202,1,1,200,1550,1150,12,1510,1,0.8666666667
2,3,1150,200,0.3,false,203,1,1,200,1400,1050,11,1490,1,0.8888888889
2,3,1150,200,0.3,false,204,1,1,200,1050,750,10,1640.9090909091,1,0.8545454545
2,3,1150,200,0.3,false,205,1,1,200,1150,800,11,1591.6666666667,1,0.8484848485
2,3,1150,200,0.3,false,206,1,1,200,1600,1600,9,1554.5454545455,1,0.8545454545
2,3,1150,200,0.3,false,207,1,1,1150,1950,1150,13,1533.3333333333,1,0.9166666667
2,3,1150,200,0.3,false,208,1,1,1150,2000,1600,10,1483.3333333333,1,0.8888888889
2,3,1150,200,0.3,false,211,1,1,200,1150,700,10,1695,1,0.8666666667
2,3,1150,200,0.3,false,212,1,1,200,1100,2100,12,1516.6666666667,1,0.8888888889
2,3,1150,200,0.3,false,213,1,1,1150,2400,750,12,1522.7272727273,1,0.8727272727
2,3,1150,200,0.3,false,214,1,1,200,1400,750,9,1570.8333333333,1,0.8484848485
2,3,1150,200,0.3,false,215,1,1,200,1200,1950,13,1522.7272727273,1,0.8363636364
2,4,1150,200,0.3,false,201,1,1,1150,2850,2300,11,2040.9090909091,1,0.8727272727
2,4,1150,200,0.3,false,202,1,1,200,2050,1550,10,2077.2727272727,1,0.8909090909
2,4,1150,200,0.3,false,203,1,1,200,1900,1400,10,2030,1,0.9333333333
2,4,1150,200,0.3,false,204,1,1,200,1600,1050,11,2163.6363636364,1,0.8727272727
2,4,1150,200,0.3,false,205,1,1,200,1750,1150,12,2108.3333333333,1,0.8787878788
2,4,1150,200,0.3,false,206,1,1,200,2150,1600,11,2040,1,0.9111111111
2,4,1150,200,0.3,false,207,1,1,1150,2400,1950,9,2083.3333333333,1,0.9166666667
2,4,1150,200,0.3,false,208,1,1,1150,2450,2000,9,2016.6666666667,1,0.9444444444
2,4,1150,200,0.3,false,211,1,1,200,1650,1150,10,2163.6363636364,1,0.8727272727
2,4,1150,200,0.3,false,212,1,1,200,1550,1100,9,2100,1,0.9090909091
