game,round,scoreA,scoreB,percentA,showScore,superid,behavior,e_behavior,initial_score,cumulativePayoff,e_cumulativePayoff,e_degree,local_avg_wealth,local_rate_coop
7,2,700,300,0.5,true,723,1,1,700,850,650,10,745.454545454545,0.7
8,2,700,300,0.5,false,800,1,1,300,600,400,8,600,0.875
8,2,700,300,0.5,false,801,1,0,300,1000,700,6,628.571428571429,0.833333333333333
8,2,700,300,0.5,false,802,1,1,300,1050,650,12,603.846153846154,0.916666666666667
8,2,700,300,0.5,false,803,1,1,300,500,400,4,470,1
8,2,700,300,0.5,false,804,1,1,300,900,500,10,759.090909090909,0.8
8,2,700,300,0.5,false,805,1,1,300,550,300,9,770,0.666666666666667
8,2,700,300,0.5,false,806,1,1,300,700,350,9,650,0.777777777777778
8,2,700,300,0.5,false,807,1,1,300,900,550,9,665,0.888888888888889
8,2,700,300,0.5,false,808,1,1,300,700,500,6,607.142857142857,1
8,2,700,300,0.5,false,809,1,1,700,1100,800,8,722.222222222222,0.875
8,2,700,300,0.5,false,811,1,1,700,1200,850,9,590,0.888888888888889
8,2,700,300,0.5,false,812,1,0,700,1000,1100,4,730,0.75
8,2,700,300,0.5,false,813,1,0,700,1150,1000,5,883.333333333333,0.6
8,2,700,300,0.5,false,814,1,1,700,1150,800,7,700,0.714285714285714
8,2,700,300,0.5,false,815,1,0,300,1400,1200,10,686.363636363636,0.9
8,2,700,300,0.5,false,816,1,1,700,850,700,7,850,0.571428571428571
8,2,700,300,0.5,false,817,0,1,300,1100,300,9,725,0.666666666666667
8,2,700,300,0.5,false,818,0,0,300,800,600,4,940,0.5
8,2,700,300,0.5,false,819,1,1,700,800,650,7,825,0.571428571428571
8,2,700,300,0.5,false,820,1,1,700,1200,750,9,625,0.888888888888889
8,2,700,300,0.5,false,821,0,0,700,2200,1500,9,740,0.666666666666667
8,2,700,300,0.5,false,822,1,1,300,700,500,10,618.181818181818,0.9
8,2,700,300,0.5,false,823,0,1,700,1850,850,11,666.666666666667,0.727272727272727
9,2,500,500,0.5,true,900,1,1,500,1150,750,10,768.181818181818,0.8
9,2,500,500,0.5,true,901,1,1,500,1100,750,7,725,1
9,2,500,500,0.5,true,902,1,1,500,850,650,10,804.545454545455,0.7
9,2,500,500,0.5,true,903,1,1,500,1300,850,11,725,0.909090909090909
9,2,500,500,0.5,true,904,1,1,500,650,550,4,620,1
